Algorithm,Size,Duration,Comparisons
1,100000,34.896516,4999950000
2,100000,12.931906,5000958791
3,100000,0.027122,1736411
4,100000,0.017295,2200440
1,150000,83.101835,11249925000
2,150000,31.355580,11251503611
3,150000,0.035234,2692451
4,150000,0.026338,3487707
1,200000,147.297863,19999900000
2,200000,53.289187,20002058687
3,200000,0.046296,3672679
4,200000,0.035168,4888497
1,250000,227.269817,31249875000
2,250000,83.833399,31252614740
3,250000,0.063990,4668374
4,250000,0.049576,6028327
1,300000,310.772004,44999850000
2,300000,118.633902,45003190327
3,300000,0.077346,5684396
4,300000,0.059501,7348943
1,350000,421.977985,61249825000
2,350000,157.912601,61253773277
3,350000,0.089660,6711382
4,350000,0.068522,8693761
1,400000,545.409755,79999800000
2,400000,206.176626,80004379298
3,400000,0.103237,7745456
4,400000,0.077554,10597048
1,450000,689.922489,101249775000
2,450000,273.048897,101254998639
3,450000,0.117634,8789085
4,450000,0.088885,11058022
