Algorithm,Size,Duration,Comparisons
1,100000,34.328682,4999950000
2,100000,13.177120,5000958641
3,100000,0.028087,1736237
4,100000,0.019359,2207360
1,150000,78.897464,11249925000
2,150000,30.264185,11251499343
3,150000,0.037192,2692355
4,150000,0.027587,3409545
1,200000,145.457094,19999900000
2,200000,53.822102,20002055159
3,200000,0.052747,3672265
4,200000,0.038663,4747536
1,250000,223.408564,31249875000
2,250000,83.738105,31252630401
3,250000,0.066088,4668525
4,250000,0.048292,6370191
1,300000,316.758097,44999850000
2,300000,119.439581,45003189343
3,300000,0.077691,5684862
4,300000,0.056170,7341443
1,350000,432.492022,61249825000
2,350000,162.120380,61253799860
3,350000,0.089173,6711666
4,350000,0.068550,8709691
1,400000,568.991465,79999800000
2,400000,216.648147,80004395592
3,400000,0.102370,7745058
4,400000,0.075447,9756214
1,450000,724.305637,101249775000
2,450000,260.898469,101254990964
3,450000,0.110659,8789699
4,450000,0.081989,11182490
1,500000,852.305061,124999750000
2,500000,322.211573,125005615032
3,500000,0.124033,9837720
4,500000,0.093486,13405170
1,550000,1085.572517,151249725000
2,550000,401.846490,151256247902
3,550000,0.137974,10897590
4,550000,0.103550,14575184
1,600000,1271.235026,179999700000
2,600000,466.481380,180006844605
3,600000,0.156669,11969325
4,600000,0.117420,15656132
1,650000,1450.176948,211249675000
2,650000,547.360408,211257438684
3,650000,0.169955,13043841
4,650000,0.127092,16472327
1,700000,1754.268153,244999650000
2,700000,658.228899,245008062459
3,700000,0.183112,14123780
4,700000,0.134540,17937131
1,750000,2014.868194,281249625000
2,750000,808.610534,281258681252
3,750000,0.211962,15205576
4,750000,0.153104,19811942
1,800000,2224.218875,319999600000
2,800000,825.789376,320009343309
3,800000,0.203027,16291206
4,800000,0.152057,20839867
1,850000,2481.220303,361249575000
2,850000,991.130794,361259931117
3,850000,0.223598,17383630
4,850000,0.166634,22301927
1,900000,2787.352721,404999550000
2,900000,1078.945170,405010626782
3,900000,0.251735,18479140
4,900000,0.176440,24450923
1,950000,3118.209561,451249525000
2,950000,1187.782339,451261241871
3,950000,0.243914,19575539
4,950000,0.181148,25539886
1,1000000,3423.602484,499999500000
2,1000000,1291.620189,500011867654
3,1000000,0.257847,20674223
4,1000000,0.199192,28780619
