Algorithm,Size,Duration,Comparisons
1,10000,0.365126,49995000
2,10000,0.141514,50072147
3,10000,0.002087,140475
4,10000,0.001513,178673
1,15000,0.809541,112492500
2,15000,0.311823,112614757
3,15000,0.003407,219320
4,15000,0.002454,280351
1,20000,1.469276,199990000
2,20000,0.567321,200157868
3,20000,0.004756,300944
4,20000,0.003114,390687
1,25000,2.390116,312487500
2,25000,0.908597,312704312
3,25000,0.005632,384126
4,25000,0.004258,481741
1,30000,3.134502,449985000
2,30000,1.176960,450252102
3,30000,0.006957,468780
4,30000,0.005727,608652
1,35000,4.257697,612482500
2,35000,1.607183,612794974
3,35000,0.008177,554432
4,35000,0.006811,683904
1,40000,5.533195,799980000
2,40000,2.094484,800346051
3,40000,0.010198,641733
4,40000,0.006962,854864
1,45000,7.028167,1012477500
2,45000,2.642448,1012896151
3,45000,0.011430,729847
4,45000,0.007665,907909
1,50000,8.708225,1249975000
2,50000,3.287488,1250446268
3,50000,0.012742,818106
4,50000,0.008681,1043173
1,55000,10.413196,1512472500
2,55000,3.966847,1512995320
3,55000,0.014504,907454
4,55000,0.008986,1146653
1,60000,12.446132,1799970000
2,60000,4.714890,1800547579
3,60000,0.016102,997207
4,60000,0.011203,1350138
1,65000,14.589789,2112467500
2,65000,5.529572,2113096310
3,65000,0.016153,1087359
4,65000,0.011751,1390029
1,70000,16.907149,2449965000
2,70000,6.393280,2450656935
3,70000,0.017807,1178955
4,70000,0.012920,1693288
1,75000,19.393216,2812462500
2,75000,7.351489,2813195324
3,75000,0.019327,1271130
4,75000,0.012668,1701332
1,80000,22.014042,3199960000
2,80000,8.377102,3200751937
3,80000,0.020835,1363589
4,80000,0.015078,1703387
1,85000,24.926440,3612457500
2,85000,9.418905,3613301030
3,85000,0.022379,1456302
4,85000,0.014556,1892511
1,90000,27.904064,4049955000
2,90000,10.572557,4050853076
3,90000,0.023087,1549728
4,90000,0.016596,1978665
1,95000,31.155163,4512452500
2,95000,11.861770,4513414686
3,95000,0.024679,1642670
4,95000,0.017213,2055900
1,100000,34.494921,4999950000
2,100000,13.033224,5000968958
3,100000,0.025638,1736336
4,100000,0.019026,2233983
